candidate_formula,prototype_id,substitution,w_letter,group_size,max_mismatch,status,generated_cif,n_neighbor_checks
ZnCr6Fe13,mp-1196648,Nd->Cr,l,24,0.1263146596593316,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\ZnCr6Fe13__from_mp-1196648__NdtoCr__radiusmatch_ok.cif,144
Fe13Co6Cu,mp-1197841,Pr->Co,l,24,0.1338125912503229,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe13Co6Cu__from_mp-1197841__PrtoCo__radiusmatch_ok.cif,144
Fe13CuNi6,mp-1197841,Pr->Ni,l,24,0.1338125912503229,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe13CuNi6__from_mp-1197841__PrtoNi__radiusmatch_ok.cif,144
Mn6Fe13Cu,mp-1197841,Pr->Mn,l,24,0.1269846414183466,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn6Fe13Cu__from_mp-1197841__PrtoMn__radiusmatch_ok.cif,144
Cr6Fe13Cu,mp-1197841,Pr->Cr,l,24,0.1269846414183466,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr6Fe13Cu__from_mp-1197841__PrtoCr__radiusmatch_ok.cif,144
Fe4Ir,mp-623108,Eu->Fe,h,8,0.0403867319426204,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe4Ir__from_mp-623108__EutoFe__radiusmatch_ok.cif,8
Co4Ir,mp-623108,Eu->Co,h,8,0.0596531529045207,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Co4Ir__from_mp-623108__EutoCo__radiusmatch_ok.cif,8
Ni4Ir,mp-623108,Eu->Ni,h,8,0.0596531529045207,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Ni4Ir__from_mp-623108__EutoNi__radiusmatch_ok.cif,8
Mn4Ir,mp-623108,Eu->Mn,h,8,0.0403867319426204,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn4Ir__from_mp-623108__EutoMn__radiusmatch_ok.cif,8
Cr4Ir,mp-623108,Eu->Cr,h,8,0.0403867319426204,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr4Ir__from_mp-623108__EutoCr__radiusmatch_ok.cif,8
Fe3Pd2,mp-1105286,Eu->Fe,b,1,0.1242985762614227,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe3Pd2__from_mp-1105286__EutoFe__radiusmatch_ok.cif,6
Co3Pd2,mp-1105286,Eu->Co,b,1,0.1447403685570848,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Co3Pd2__from_mp-1105286__EutoCo__radiusmatch_ok.cif,6
Ni3Pd2,mp-1105286,Eu->Ni,b,1,0.1447403685570848,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Ni3Pd2__from_mp-1105286__EutoNi__radiusmatch_ok.cif,6
Mn3Pd2,mp-1105286,Eu->Mn,b,1,0.1242985762614227,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn3Pd2__from_mp-1105286__EutoMn__radiusmatch_ok.cif,6
Cr3Pd2,mp-1105286,Eu->Cr,b,1,0.1242985762614227,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr3Pd2__from_mp-1105286__EutoCr__radiusmatch_ok.cif,6
Fe3Pt2,mp-1104698,Eu->Fe,a,1,0.1450035718700371,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe3Pt2__from_mp-1104698__EutoFe__radiusmatch_ok.cif,6
Mn3Pt2,mp-1104698,Eu->Mn,a,1,0.1450035718700371,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn3Pt2__from_mp-1104698__EutoMn__radiusmatch_ok.cif,6
Cr3Pt2,mp-1104698,Eu->Cr,a,1,0.1450035718700371,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr3Pt2__from_mp-1104698__EutoCr__radiusmatch_ok.cif,6
Fe7Au3,mp-1106137,Eu->Fe,b,2,0.1377457851691236,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe7Au3__from_mp-1106137__EutoFe__radiusmatch_ok.cif,6
Mn7Au3,mp-1106137,Eu->Mn,b,2,0.1377457851691236,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn7Au3__from_mp-1106137__EutoMn__radiusmatch_ok.cif,6
Cr7Au3,mp-1106137,Eu->Cr,b,2,0.1377457851691236,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr7Au3__from_mp-1106137__EutoCr__radiusmatch_ok.cif,6
Fe2Co17,mp-569638,Dy->Fe,d,2,0.1410563129660811,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe2Co17__from_mp-569638__DytoFe__radiusmatch_ok.cif,40
Mn2Co17,mp-569638,Dy->Mn,d,2,0.1410563129660811,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn2Co17__from_mp-569638__DytoMn__radiusmatch_ok.cif,40
Cr2Co17,mp-569638,Dy->Cr,d,2,0.1410563129660811,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr2Co17__from_mp-569638__DytoCr__radiusmatch_ok.cif,40
Al2Fe17,mp-1196052,Dy->Fe,b,2,0.1201444387294663,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Al2Fe17__from_mp-1196052__DytoFe__radiusmatch_ok.cif,24
Nb2Fe17,mp-1197659,Dy->Fe,b,2,0.1201099849341044,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Nb2Fe17__from_mp-1197659__DytoFe__radiusmatch_ok.cif,24
Al3Fe16,mp-1199551,Er->Fe,b,2,0.1121501732335385,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Al3Fe16__from_mp-1199551__ErtoFe__radiusmatch_ok.cif,24
Fe16Si3,mp-1204517,Er->Fe,b,2,0.1060668685254771,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe16Si3__from_mp-1204517__ErtoFe__radiusmatch_ok.cif,24
Ga2Fe17,mp-1203778,Tm->Fe,b,2,0.1225022736670511,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Ga2Fe17__from_mp-1203778__TmtoFe__radiusmatch_ok.cif,24
Fe17Si2,mp-1200417,Tm->Fe,b,2,0.1134536543894052,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe17Si2__from_mp-1200417__TmtoFe__radiusmatch_ok.cif,24
Co18Pb,mp-1213266,Gd->Co,g,12,0.0777176712100881,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Co18Pb__from_mp-1213266__GdtoCo__radiusmatch_ok.cif,36
Fe23Co6,mp-1194186,Dy->Co,e,6,0.1079541119379043,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe23Co6__from_mp-1194186__DytoCo__radiusmatch_ok.cif,72
Fe23Ni6,mp-1194186,Dy->Ni,e,6,0.1079541119379043,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe23Ni6__from_mp-1194186__DytoNi__radiusmatch_ok.cif,72
Mn6Fe23,mp-1194186,Dy->Mn,e,6,0.0881692170818704,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn6Fe23__from_mp-1194186__DytoMn__radiusmatch_ok.cif,72
Cr6Fe23,mp-1194186,Dy->Cr,e,6,0.0881692170818704,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr6Fe23__from_mp-1194186__DytoCr__radiusmatch_ok.cif,72
AlFe4,mp-1213330,Eu->Fe,e,8,0.1269746456262407,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\AlFe4__from_mp-1213330__EutoFe__radiusmatch_ok.cif,8
AlCo4,mp-1213330,Eu->Co,e,8,0.1486472349652068,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\AlCo4__from_mp-1213330__EutoCo__radiusmatch_ok.cif,8
AlNi4,mp-1213330,Eu->Ni,e,8,0.1486472349652068,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\AlNi4__from_mp-1213330__EutoNi__radiusmatch_ok.cif,8
Mn4Al,mp-1213330,Eu->Mn,e,8,0.1269746456262407,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn4Al__from_mp-1213330__EutoMn__radiusmatch_ok.cif,8
AlCr4,mp-1213330,Eu->Cr,e,8,0.1269746456262407,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\AlCr4__from_mp-1213330__EutoCr__radiusmatch_ok.cif,8
Fe4Pd,mp-1213373,Eu->Fe,e,8,0.0048444253071761,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe4Pd__from_mp-1213373__EutoFe__radiusmatch_ok.cif,8
Co4Pd,mp-1213373,Eu->Co,e,8,0.0132493124145121,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Co4Pd__from_mp-1213373__EutoCo__radiusmatch_ok.cif,8
Ni4Pd,mp-1213373,Eu->Ni,e,8,0.0132493124145121,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Ni4Pd__from_mp-1213373__EutoNi__radiusmatch_ok.cif,8
Mn4Pd,mp-1213373,Eu->Mn,e,8,0.0048444253071761,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn4Pd__from_mp-1213373__EutoMn__radiusmatch_ok.cif,8
Cr4Pd,mp-1213373,Eu->Cr,e,8,0.0048444253071761,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr4Pd__from_mp-1213373__EutoCr__radiusmatch_ok.cif,8
Fe4Pt,mp-1213212,Eu->Fe,e,8,0.0120870301252551,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe4Pt__from_mp-1213212__EutoFe__radiusmatch_ok.cif,8
Co4Pt,mp-1213212,Eu->Co,e,8,0.0308293825349819,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Co4Pt__from_mp-1213212__EutoCo__radiusmatch_ok.cif,8
Ni4Pt,mp-1213212,Eu->Ni,e,8,0.0308293825349819,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Ni4Pt__from_mp-1213212__EutoNi__radiusmatch_ok.cif,8
Mn4Pt,mp-1213212,Eu->Mn,e,8,0.0120870301252551,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn4Pt__from_mp-1213212__EutoMn__radiusmatch_ok.cif,8
Cr4Pt,mp-1213212,Eu->Cr,e,8,0.0120870301252551,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr4Pt__from_mp-1213212__EutoCr__radiusmatch_ok.cif,8
Fe76C3,mp-1225150,Ho->Fe,a,16,0.1446914381647184,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe76C3__from_mp-1225150__HotoFe__radiusmatch_ok.cif,160
Mn3Fe29,mp-1198423,Ho->Mn,a,1,0.1428614563778893,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn3Fe29__from_mp-1198423__HotoMn__radiusmatch_ok.cif,20
Cr3Fe29,mp-1198423,Ho->Cr,a,1,0.1428614563778893,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr3Fe29__from_mp-1198423__HotoCr__radiusmatch_ok.cif,20
Fe2Cu,mp-1102243,Eu->Fe,c,12,0.1372513182832606,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe2Cu__from_mp-1102243__EutoFe__radiusmatch_ok.cif,32
Mn2Cu,mp-1102243,Eu->Mn,c,12,0.1372513182832606,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn2Cu__from_mp-1102243__EutoMn__radiusmatch_ok.cif,32
Cr2Cu,mp-1102243,Eu->Cr,c,12,0.1372513182832606,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr2Cu__from_mp-1102243__EutoCr__radiusmatch_ok.cif,32
Fe3Au,mp-1189094,Eu->Fe,e,16,0.1461055264885199,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe3Au__from_mp-1189094__EutoFe__radiusmatch_ok.cif,48
Mn3Au,mp-1189094,Eu->Mn,e,16,0.1461055264885199,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn3Au__from_mp-1189094__EutoMn__radiusmatch_ok.cif,48
Cr3Au,mp-1189094,Eu->Cr,e,16,0.1461055264885199,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr3Au__from_mp-1189094__EutoCr__radiusmatch_ok.cif,48
Fe3Rh,mp-1189512,Eu->Fe,d,8,0.1257331741357522,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe3Rh__from_mp-1189512__EutoFe__radiusmatch_ok.cif,16
Co3Rh,mp-1189512,Eu->Co,d,8,0.1465800847678957,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Co3Rh__from_mp-1189512__EutoCo__radiusmatch_ok.cif,16
Ni3Rh,mp-1189512,Eu->Ni,d,8,0.1465800847678957,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Ni3Rh__from_mp-1189512__EutoNi__radiusmatch_ok.cif,16
Mn3Rh,mp-1189512,Eu->Mn,d,8,0.1257331741357522,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn3Rh__from_mp-1189512__EutoMn__radiusmatch_ok.cif,16
Cr3Rh,mp-1189512,Eu->Cr,d,8,0.1257331741357522,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr3Rh__from_mp-1189512__EutoCr__radiusmatch_ok.cif,16
